"","year","lowerCI","mean","upperCI","herd","scenario"
"6551","1916",1.16010602121846,1.17257059928164,1.18246578628994,"WSA","NI"
"6552","1917",1.16013251956692,1.17253930920606,1.18255442683007,"WSA","NI"
"6553","1918",1.15973691130025,1.1724767867723,1.18256150043396,"WSA","NI"
"6554","1919",1.15971611104463,1.1725173725137,1.18246525454728,"WSA","NI"
"6555","1920",1.16013055645729,1.17287455625884,1.18254283373839,"WSA","NI"
"6556","1921",1.15982864136118,1.17280062360503,1.18238294975705,"WSA","NI"
"6557","1922",1.15997276134042,1.17310326563043,1.18275150566308,"WSA","NI"
"6558","1923",1.15981027312539,1.17335270505731,1.18281224445832,"WSA","NI"
"6559","1924",1.16132616321257,1.17350427442779,1.18311841302684,"WSA","NI"
"6560","1925",1.15785259864467,1.16975422673737,1.17919147760876,"WSA","NI"
"6561","1926",1.15900009854305,1.17008667796349,1.1791942877094,"WSA","NI"
"6562","1927",1.15947584180512,1.17016641540606,1.17901430594085,"WSA","NI"
"6563","1928",1.16004922654282,1.17052887202428,1.17926693579463,"WSA","NI"
"6564","1929",1.16071543615362,1.1708687184071,1.17940010203213,"WSA","NI"
"6565","1930",1.16074808514018,1.17123855410826,1.17965483326656,"WSA","NI"
"6566","1931",1.16035648196734,1.17095785037776,1.17924051383412,"WSA","NI"
"6567","1932",1.1608020413087,1.17138111411981,1.1795050376634,"WSA","NI"
"6568","1933",1.15791698629132,1.1680493903732,1.17597348108555,"WSA","NI"
"6569","1934",1.15430577403733,1.16471610743747,1.17234071645271,"WSA","NI"
"6570","1935",1.15435487769772,1.16501793541052,1.17249194625651,"WSA","NI"
"6571","1936",1.15478807946972,1.16533634081199,1.17274025951287,"WSA","NI"
"6572","1937",1.15478841279494,1.16571245121671,1.17292459554226,"WSA","NI"
"6573","1938",1.15502849312101,1.16604784014849,1.17302884801386,"WSA","NI"
"6574","1939",1.15526561643083,1.16651577806894,1.17335430961856,"WSA","NI"
"6575","1940",1.15686551569474,1.16691097660201,1.17361810226897,"WSA","NI"
"6576","1941",1.15761151783181,1.16723907044162,1.17378403250084,"WSA","NI"
"6577","1942",1.15813316380775,1.16755954591417,1.17406775709876,"WSA","NI"
"6578","1943",1.1587162219128,1.16789919780301,1.17411704624018,"WSA","NI"
"6579","1944",1.1587894613821,1.16825771340443,1.17429170677483,"WSA","NI"
"6580","1945",1.15916489414929,1.16861630261661,1.17455723089171,"WSA","NI"
"6581","1946",1.15973129677364,1.16899870134954,1.17478753947497,"WSA","NI"
"6582","1947",1.16151300007631,1.16937089263504,1.17498629865147,"WSA","NI"
"6583","1948",1.1619723307933,1.16974671468063,1.17516742371987,"WSA","NI"
"6584","1949",1.16046954066344,1.16792519519788,1.17331613027364,"WSA","NI"
"6585","1950",1.16077198904219,1.16823836104699,1.1734139100454,"WSA","NI"
"6586","1951",1.16081340318096,1.16862608310982,1.17360555600645,"WSA","NI"
"6587","1952",1.1615725882186,1.16867866366294,1.17349072480197,"WSA","NI"
"6588","1953",1.16203115662247,1.16890336729953,1.17343448207366,"WSA","NI"
"6589","1954",1.16322194651252,1.16926603508737,1.17371272889633,"WSA","NI"
"6590","1955",1.16366682014446,1.16955984198021,1.1738020756525,"WSA","NI"
"6591","1956",1.16392441205552,1.16989835867878,1.17387168238004,"WSA","NI"
"6592","1957",1.16492422394121,1.17033042524241,1.17405136633823,"WSA","NI"
"6593","1958",1.1655585193246,1.17064961187088,1.17412748906009,"WSA","NI"
"6594","1959",1.16636113472947,1.17114550569049,1.17417908122535,"WSA","NI"
"6595","1960",1.16700797647443,1.17156521163509,1.17429321492223,"WSA","NI"
"6596","1961",1.16763342924163,1.17194224909046,1.1743710902012,"WSA","NI"
"6597","1962",1.16765567072321,1.17190451932281,1.17412533545834,"WSA","NI"
"6598","1963",1.16767045256595,1.17159373447809,1.17349037451913,"WSA","NI"
"6599","1964",1.16824431413831,1.17187753908831,1.17352987561413,"WSA","NI"
"6600","1965",1.16888801539374,1.17222028725991,1.17354704713607,"WSA","NI"
"6601","1966",1.16924056967407,1.17247814682538,1.1735561847748,"WSA","NI"
"6602","1967",1.17050867957519,1.17288308470347,1.17355678678578,"WSA","NI"
"6603","1968",1.17178531955855,1.17327679333019,1.17355681176749,"WSA","NI"
"6604","1969",1.17355681176762,1.17355681176762,1.17355681176762,"WSA","NI"
"6605","1970",1.17355681176762,1.17355681176762,1.17355681176762,"WSA","NI"
"6606","1971",1.17395395469282,1.17395395469282,1.17395395469282,"WSA","NI"
"6607","1972",1.17390588336536,1.17390588336536,1.17390588336536,"WSA","NI"
"6608","1973",1.17407722865817,1.17407722865817,1.17407722865817,"WSA","NI"
"6609","1974",1.17420924874562,1.17420924874562,1.17420924874562,"WSA","NI"
"6610","1975",1.17828453352494,1.17828453352494,1.17828453352494,"WSA","NI"
"6611","1976",1.1782700503396,1.1782700503396,1.1782700503396,"WSA","NI"
"6612","1977",1.17858126053865,1.17858126053865,1.17858126053865,"WSA","NI"
"6613","1978",1.17858126053865,1.17858126053865,1.17858126053865,"WSA","NI"
"6614","1979",1.17395303656744,1.17395303656744,1.17395303656744,"WSA","NI"
"6615","1980",1.17312292960753,1.17312292960753,1.17312292960753,"WSA","NI"
"6616","1981",1.17350802965692,1.17350802965692,1.17350802965692,"WSA","NI"
"6617","1982",1.17341818495896,1.17341818495896,1.17341818495896,"WSA","NI"
"6618","1983",1.17626972834637,1.17626972834637,1.17626972834637,"WSA","NI"
"6619","1984",1.18008168273167,1.18008168273167,1.18008168273167,"WSA","NI"
"6620","1985",1.1800504101934,1.1800504101934,1.1800504101934,"WSA","NI"
"6621","1986",1.18003662376313,1.18003662376313,1.18003662376313,"WSA","NI"
"6622","1987",1.17906024019426,1.17906024019426,1.17906024019426,"WSA","NI"
"6623","1988",1.17906024019426,1.17906024019426,1.17906024019426,"WSA","NI"
"6624","1989",1.17701454289737,1.1787478582352,1.17906024019415,"WSA","NI"
"6625","1990",1.17588409576391,1.17838471611578,1.17906022452542,"WSA","NI"
"6626","1991",1.17476325672742,1.17796209758334,1.17905973624188,"WSA","NI"
"6627","1992",1.17266756577423,1.17757288953158,1.17906239866813,"WSA","NI"
"6628","1993",1.17240803174024,1.1773241555337,1.17904047649128,"WSA","NI"
"6629","1994",1.17204965131353,1.1769615249171,1.17901671552587,"WSA","NI"
"6630","1995",1.17041531710099,1.17650289491957,1.17901010362234,"WSA","NI"
"6631","1996",1.16995266725773,1.17612930017402,1.17893590787555,"WSA","NI"
"6632","1997",1.16929493974996,1.17571726387665,1.17887284048135,"WSA","NI"
"6633","1998",1.16926537543741,1.17537202921897,1.17878810500681,"WSA","NI"
"6634","1999",1.17096627093761,1.17728686215104,1.18105939185414,"WSA","NI"
"6635","2000",1.17044280251391,1.17699147192208,1.1809558202314,"WSA","NI"
"6636","2001",1.16991513501044,1.17664382352318,1.18057841657606,"WSA","NI"
"6637","2002",1.16853006146555,1.17656383748435,1.18075965281615,"WSA","NI"
"6638","2003",1.16853119126632,1.17630983446199,1.18080339822831,"WSA","NI"
"6639","2004",1.16811845147075,1.17593975331111,1.18061819674909,"WSA","NI"
"6640","2005",1.16728157428764,1.17553445449428,1.18052171377012,"WSA","NI"
"6641","2006",1.1668482495521,1.17513017192728,1.18047177353706,"WSA","NI"
"6642","2007",1.16621652670022,1.17481676936342,1.18042572640678,"WSA","NI"
